epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,8636.28,0.70682,0.42739,1.13588,0.79175,0.71947,0.75833,0.52141,0.69621,0.45616,1.12902,0.005842,0.005842,0.005842
44,8836.48,0.7035,0.42576,1.13621,0.77799,0.72125,0.75561,0.52399,0.68712,0.45665,1.11592,0.005743,0.005743,0.005743
45,9036.91,0.70514,0.42295,1.13322,0.84533,0.69434,0.76417,0.52123,0.68692,0.44957,1.12213,0.005644,0.005644,0.005644
46,9237.06,0.69632,0.41842,1.12948,0.83033,0.71139,0.76675,0.52544,0.69175,0.45011,1.11996,0.005545,0.005545,0.005545
47,9437.41,0.69796,0.41924,1.1288,0.82071,0.68845,0.74937,0.52004,0.69242,0.45133,1.12013,0.005446,0.005446,0.005446
48,9637.77,0.69055,0.41519,1.12547,0.83883,0.68038,0.76164,0.52097,0.69468,0.45455,1.1194,0.005347,0.005347,0.005347
49,9838.09,0.68453,0.41098,1.11781,0.83099,0.69094,0.76064,0.52889,0.70119,0.46239,1.12908,0.005248,0.005248,0.005248
50,10038.6,0.68271,0.40416,1.11844,0.81077,0.72555,0.77155,0.52699,0.69879,0.45807,1.12862,0.005149,0.005149,0.005149
51,10238.9,0.68025,0.40517,1.111,0.80075,0.72079,0.76137,0.52158,0.70043,0.46089,1.1268,0.00505,0.00505,0.00505
52,10439.4,0.67344,0.40256,1.11028,0.82192,0.69868,0.76074,0.52278,0.69815,0.45667,1.12634,0.004951,0.004951,0.004951
53,10639.8,0.67229,0.39817,1.10856,0.83243,0.69465,0.75985,0.52341,0.7001,0.45377,1.13031,0.004852,0.004852,0.004852
54,10840.3,0.66549,0.39181,1.10859,0.84758,0.69596,0.76567,0.52503,0.70337,0.44966,1.13556,0.004753,0.004753,0.004753
55,11040.8,0.65924,0.39033,1.10511,0.80404,0.72769,0.76638,0.52571,0.70203,0.45178,1.13681,0.004654,0.004654,0.004654
56,11240.9,0.66333,0.38848,1.10143,0.82422,0.70047,0.76632,0.5235,0.70179,0.4492,1.13656,0.004555,0.004555,0.004555
57,11441.4,0.65162,0.38075,1.10088,0.80333,0.71977,0.76996,0.52215,0.69652,0.44498,1.13318,0.004456,0.004456,0.004456
58,11641.6,0.65446,0.38111,1.10244,0.80824,0.72652,0.77167,0.52246,0.70101,0.44749,1.13654,0.004357,0.004357,0.004357
59,11842.1,0.65108,0.37869,1.1009,0.83945,0.69813,0.77017,0.52323,0.70177,0.44529,1.13714,0.004258,0.004258,0.004258
60,12042.7,0.64331,0.37654,1.09115,0.82364,0.70858,0.76776,0.52322,0.69951,0.44701,1.13591,0.004159,0.004159,0.004159
61,12243.2,0.64013,0.37211,1.09151,0.83453,0.70703,0.77081,0.52421,0.70109,0.4478,1.13746,0.00406,0.00406,0.00406
62,12443.8,0.63554,0.36891,1.08841,0.82202,0.71633,0.76614,0.5222,0.7016,0.45088,1.13734,0.003961,0.003961,0.003961
63,12644.2,0.63208,0.36325,1.08383,0.81719,0.71013,0.76317,0.52138,0.7015,0.4531,1.13944,0.003862,0.003862,0.003862
64,12844.6,0.6291,0.36302,1.07901,0.81138,0.70931,0.75799,0.51929,0.70118,0.45329,1.13837,0.003763,0.003763,0.003763
65,13045.2,0.6238,0.36033,1.0801,0.8525,0.69337,0.75985,0.52055,0.70265,0.45334,1.14042,0.003664,0.003664,0.003664
66,13245.6,0.62338,0.35754,1.07938,0.84583,0.69013,0.75428,0.52001,0.70068,0.45463,1.13825,0.003565,0.003565,0.003565
67,13446.1,0.61231,0.34911,1.07347,0.84016,0.68857,0.75158,0.51928,0.70233,0.45442,1.13904,0.003466,0.003466,0.003466
68,13646.7,0.61554,0.34989,1.07336,0.81465,0.70802,0.75588,0.51999,0.70294,0.45327,1.13949,0.003367,0.003367,0.003367
69,13847.2,0.6073,0.34861,1.07172,0.80918,0.71367,0.75685,0.52061,0.70376,0.45314,1.14155,0.003268,0.003268,0.003268
